_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4490598,23067,BP-30437,598,Markham St,Markham St,West,Lennox St,North,,11,Mirvish Village,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4121421544733, 43.663986109526]]}"
4490599,23068,BP-30449,538,Manning Ave,Harbord St,North,Manning Ave,West,,11,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.4148671606666, 43.660571856069005]]}"
4490600,23069,BP-30451,200,University Ave,Richmond St W,South,University Ave,West,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3864989489412, 43.6499009944472]]}"
4490601,23070,BP-30452,145,Queen St W,Richmond St W,North,University Ave,East,,10,Toronto Downtown West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3858485313328, 43.6502482494124]]}"
4490602,23071,BP-30453,55,University Ave,University Ave,East,Wellington St W,North,,10,Financial District,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3841054237799, 43.6467257022314]]}"
4490603,23072,BP-30475,427A,Queen St W,Queen St W,South,Spadina Ave,East,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3955926496092, 43.6488350610472]]}"
4490604,23073,BP-30493,3,St Patrick St,Queen St W,North,St Patrick St,East,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3881834981795, 43.6505582146834]]}"
4490605,23074,BP-30499,229,Queen St W,Queen St W,South,St Patrick St,East,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3882643360794, 43.6504045414902]]}"
4490606,23077,BP-30552,397,Queen St W,Queen St W,South,Ln 1 W Peter N Jack Cooper,North,,10,Queen Street West,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.394548146104, 43.6490105200149]]}"
4490607,23078,BP-30598,550,Queen St E,Queen St E,North,River St,West,,13,Historic Queen East,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3571368580652, 43.6572991931991]]}"
4490608,23079,BP-30619,475,Front St E,Front St E,South,Tannery Rd,East,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3546600608271, 43.6533996737491]]}"
4490609,23080,BP-30641,457,Queen St E,Queen St E,South,Bright St,West,,13,Historic Queen East,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3598737154963, 43.6565505450448]]}"
4490610,23081,BP-30649,495,Front St E,Front St E,South,Bayview Ave,West,,13,,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3539223718801, 43.6534642633346]]}"
4490611,23082,BP-30660,94,Berkeley St,Berkeley St,West,Richmond St E,South,,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,,,,,"{'type': 'MultiPoint', 'coordinates': [[-79.3651397915278, 43.6537179783193]]}"
