centreline_id,direction,location,class_type,dt,volume_daily
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-15,917
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-14,1427
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-13,1296
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-12,1269
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-11,1157
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-10,647
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-09,886
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-08,1509
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-07,1460
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-06,1521
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-05,1401
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-04,1128
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-03,944
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-02,919
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-05-01,1195
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-30,1176
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-29,1255
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-28,1211
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-27,873
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-26,615
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-25,555
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-24,715
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-23,685
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-22,624
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-21,732
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-20,374
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-19,585
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-18,838
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-17,1030
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-16,1045
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-15,1155
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-14,1163
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-13,881
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-12,675
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-11,389
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-10,528
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-09,418
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-08,479
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-07,771
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-06,558
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-05,222
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-04,318
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-03,365
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-02,713
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-04-01,749
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-31,660
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-30,523
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-29,390
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-28,283
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-27,447
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-26,522
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-25,389
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-24,578
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-23,647
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-22,451
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-21,338
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-20,645
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-19,830
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-18,686
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-17,606
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-16,959
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-15,1324
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-14,496
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-13,937
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-12,998
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-11,1107
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-10,680
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-09,663
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-07,469
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-06,916
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-05,1048
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-04,398
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-03,182
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-02,321
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-03-01,196
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-28,295
